t,u,v,z,θ
-1,0.0,0.0,0.0,0.0
0,0.0,1.005032405473115,0.65,1.0050324054731148
1,-0.1266340830896125,0.8271416697043734,0.6168499999999999,0.9537757527939856
2,-0.18551893172628234,0.71961425767521,0.58539065,0.9051331894014926
3,-0.20977455063534975,0.6491968461066666,0.55553572685,0.8589713967420164
4,-0.21647406411733458,0.5986897913908389,0.52720340478065,0.8151638555081735
5,-0.2144112628785746,0.559179235998682,0.5003160311368368,0.7735904988772566
6,-0.20810861450387885,0.5260287689306375,0.47479991354885803,0.7341373834345164
7,-0.19988535539675062,0.4968110214826056,0.45058511795786627,0.6966963768793561
8,-0.19092458687152222,0.47024027478698666,0.42760527694201506,0.6611648616585089
9,-0.1818238593946776,0.4456215943192473,0.4057974078179723,0.6274454537139249
10,-0.17287923861560822,0.42256649695890647,0.3851017400192557,0.5954457355745146
11,-0.16423184980804273,0.4008461532521717,0.3654615512782736,0.5650780030602145
12,-0.1559434628865371,0.3803155620176064,0.34682301216308165,0.5362590249041435
13,-0.14803546398737527,0.36087435064665696,0.3291350385427645,0.5089098146340321
14,-0.1405089360613737,0.3424464780263228,0.3123491515770835,0.48295541408769643
15,-0.13335499318271862,0.32496969478650534,0.2964193448466522,0.45832468796922393
16,-0.12656008716640504,0.30839004171638845,0.2813019582594729,0.4349501288827935
17,-0.12010872121709701,0.292658951092674,0.2669555583882398,0.41276767230977107
18,-0.11398482685905321,0.27773169416291943,0.2533408249104396,0.39171652102197263
19,-0.10817245230804004,0.263566526141812,0.2404204428400071,0.37173897844985204
20,-0.10265609667563005,0.2501241938732795,0.22815900025516672,0.3527802905489096
21,-0.09742086249378772,0.2373676332371274,0.21652289124215318,0.3347884957309151
22,-0.09245251550888979,0.22526176693974864,0.20548022378880337,0.3177142824486384
23,-0.0877374975911156,0.21377335645264223,0.19500073237557436,0.3015108540437578
24,-0.08326291636652915,0.202870884120997,0.18505569502442007,0.2861338004875262
25,-0.07901652370655736,0.19252445295610499,0.17561785457817464,0.2715409766626623
26,-0.07498668929207905,0.18270569756078744,0.16666134399468774,0.25769238685286655
27,-0.071162372418174,0.17338770270519632,0.15816161545095864,0.2445500751233703
28,-0.06753309363332245,0.164544927658756,0.15009537306295972,0.2320780212920784
29,-0.06408890699759628,0.1561531352085861,0.1424405090367488,0.2202420422061824
30,-0.06082037332873867,0.14818932472492843,0.1351760430758746,0.2090096980536671
31,-0.05771853459239123,0.14063166886053882,0.128282064879005,0.19835020345293006
32,-0.054774889484743065,0.13345945359208758,0.12173967957017574,0.18823434307683062
33,-0.0519813702018081,0.1266530213781042,0.11553095591209678,0.1786343915799123
34,-0.04933032036320194,0.12019371724613483,0.10963887716057984,0.16952403760933676
35,-0.046814474046188645,0.11406383764507191,0.10404729442539026,0.16087831169126057
36,-0.044426935880932175,0.10824658191407407,0.09874088240969536,0.15267351779500626
37,-0.04216116215673181,0.10272600623072917,0.09370509740680089,0.14488716838746096
38,-0.04001094288969371,0.09748697991000674,0.08892613743905405,0.13749792279970044
39,-0.037970384803844216,0.09251514393307149,0.08439090442966228,0.1304855287369157
