u,v
-0.3000000000000052,0.8571842050930013
-0.2939393939393993,0.8397718388288594
-0.2878787878787933,0.8223634290550801
-0.2818181818181873,0.804958974643865
-0.27575757575758136,0.7875584744678699
-0.2696969696969754,0.7701619274003827
-0.26363636363636944,0.7527693323148102
-0.25757575757576345,0.7353806880850922
-0.25151515151515746,0.7179959935853267
-0.24545454545455153,0.7006152476902836
-0.23939393939394554,0.6832384492750684
-0.23333333333333958,0.6658655972148853
-0.22727272727273362,0.6484966903858868
-0.22121212121212766,0.6311317276639886
-0.21515151515152167,0.613770707925916
-0.2090909090909157,0.5964136300487504
-0.20303030303030975,0.579060492909375
-0.1969696969697038,0.5617112953861749
-0.19090909090909783,0.5443660363568437
-0.18484848484849184,0.5270247147001217
-0.17878787878788588,0.5096873292947101
-0.17272727272727992,0.49235387902013955
-0.16666666666667396,0.47502436275592125
-0.160606060606068,0.4576987793821586
-0.154545454545462,0.44037712777927157
-0.14848484848485605,0.42305940682807497
-0.14242424242425009,0.405745615409917
-0.13636363636364413,0.38843575240622497
-0.13030303030303816,0.37112981669901884
-0.12424242424243219,0.3538278071708124
-0.11818181818182623,0.33652972270417886
-0.11212121212122025,0.31923556218240234
-0.1060606060606143,0.30194532448880684
-0.10000000000000832,0.2846590085074469
-0.09393939393940236,0.2673766131227528
-0.0878787878787964,0.25009813721891755
-0.08181818181819042,0.23282357968141826
-0.07575757575758446,0.21555293939557407
-0.06969696969697849,0.19828621524711887
-0.06363636363637253,0.1810234061224584
-0.05757575757576656,0.16376451090791924
-0.05151515151516059,0.14650952849063803
-0.04545454545455463,0.1292584577578501
-0.03939393939394866,0.11201129759738356
-0.03333333333334269,0.09476804689722444
-0.027272727272736726,0.07752870454610956
-0.02121212121213076,0.060293269432558416
-0.015151515151524794,0.0430617404462758
-0.009090909090918827,0.025834116476512157
-0.003030303030312861,0.008610396413367397
0.0030303030302931055,-0.008609420852623933
0.009090909090899072,-0.025825336430907536
0.015151515151505038,-0.04303735143004013
0.021212121212111006,-0.060245466958558674
0.02727272727271697,-0.07744968412484206
0.03333333333332294,-0.09465000403626168
0.039393939393928906,-0.11184642780016918
0.04545454545453487,-0.12903895652356057
0.051515151515140835,-0.14622759131303678
0.0575757575757468,-0.16341233327478388
0.06363636363635276,-0.18059318351449402
0.06969696969695874,-0.19777014313764207
0.0757575757575647,-0.2149432132493078
0.08181818181817067,-0.23211239495415603
0.08787878787877663,-0.2492776893563974
0.0939393939393826,-0.266439097560025
0.09999999999998857,-0.2835966206684197
0.10606060606059453,-0.3007502597848831
0.1121212121212005,-0.31790001601228257
0.11818181818180647,-0.3350458904526554
0.12424242424241243,-0.3521878842083551
0.1303030303030184,-0.3693259983807475
0.13636363636362436,-0.38646023407141544
0.14242424242423032,-0.4035905923809346
0.1484848484848363,-0.42071707440993966
0.15454545454544227,-0.4378396812586309
0.16060606060604823,-0.4549584140266157
0.1666666666666542,-0.4720732738134423
0.17272727272726016,-0.48918426171782925
0.17878787878786614,-0.506291378838653
0.1848484848484721,-0.5233946262740989
0.19090909090907807,-0.5404940051219369
0.19696969696968403,-0.5575895164797597
0.20303030303029,-0.5746811614447249
0.20909090909089598,-0.5917689411135163
0.21515151515150194,-0.6088528565823039
0.2212121212121079,-0.6259329089474159
0.22727272727271386,-0.6430090993042715
0.23333333333331982,-0.6600814287481321
0.2393939393939258,-0.6771498983739627
0.24545454545453177,-0.6942145092759971
0.2515151515151377,-0.7112752625486868
0.2575757575757437,-0.7283321592855744
0.2636363636363497,-0.7453852005799259
0.2696969696969556,-0.7624343875250073
0.2757575757575616,-0.7794797212131954
0.28181818181816753,-0.7965212027369267
0.2878787878787735,-0.8135588331878867
0.2939393939393795,-0.8305926136577216
0.29999999999998544,-0.8476225452374648
